As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
24/01/2022,2,2,1,Archive 81,TV Show,Yes,"Jan 14, 2022",10,92
07/02/2022,2,2,2,All of Us Are Dead,TV Show,Yes,"Jan 28, 2022",10,88
07/02/2022,5,4,1,The Woman in the House Acro…,TV Show,Yes,"Jan 28, 2022",10,87
07/02/2022,8,8,4,In From the Cold,TV Show,Yes,"Jan 28, 2022",10,52
07/02/2022,10,9,5,Home Team,Movie,Yes,"Jan 28, 2022",10,41
11/02/2022,6,5,3,Raising Dion,TV Show,Yes,"Oct 4, 2019",10,73
11/02/2022,7,7,7,Despicable Me 2,Movie,,"Feb 1, 2022",10,41
12/02/2022,7,5,7,The Tinder Swindler,Movie,Yes,"Feb 2, 2022",10,54
12/02/2022,10,3,-,Catching Killers,TV Show,Yes,"Nov 4, 2021",10,36
21/02/2022,1,1,1,Inventing Anna,TV Show,Yes,"Feb 11, 2022",10,100
28/02/2022,10,9,6,The Cuphead Show,TV Show,Yes,"Feb 18, 2022",10,39
03/03/2022,6,-,3,jeen-yuhs: A Kanye Trilogy,TV Show,Yes,"Feb 16, 2022",10,53
07/03/2022,5,5,1,Vikings: Valhalla,TV Show,Yes,"Feb 25, 2022",10,82
07/03/2022,7,7,2,Tyler Perryâs A Madea Homec…,Movie,Yes,"Feb 25, 2022",10,69
11/03/2022,6,5,1,Worst Roommate Ever,TV Show,Yes,"Mar 1, 2022",10,81
11/03/2022,9,9,7,Shrek 2,Movie,,"Mar 1, 2022",10,33
01/04/2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90
01/04/2020,3,3,2,All American,TV Show,,"Mar 28, 2019",9,76
01/04/2020,5,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55
01/04/2020,8,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40
05/04/2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81
10/04/2020,9,9,5,Nailed It!,TV Show,Yes,"Mar 9, 2018",9,32
12/04/2020,6,5,4,Money Heist,TV Show,Yes,"Dec 20, 2017",9,54
13/04/2020,4,4,4,Angel Has Fallen,Movie,,"Apr 4, 2020",9,58
15/04/2020,7,7,4,The Big Show Show,TV Show,Yes,"Apr 6, 2020",9,51
20/04/2020,9,8,2,Code 8,Movie,,"Apr 11, 2020",9,51
24/04/2020,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",9,72
25/04/2020,7,6,1,Despicable Me,Movie,,"Apr 16, 2020",9,71
26/04/2020,5,4,2,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",9,75
27/04/2020,5,4,7,Waco,TV Show,,"Apr 16, 2020",9,54
01/05/2020,7,6,1,The Willoughbys,Movie,Yes,"Apr 22, 2020",9,62
03/05/2020,4,4,1,Extraction,Movie,Yes,"Apr 24, 2020",9,80
05/05/2020,9,9,3,The Last Kingdom,TV Show,,"Jul 10, 2016",9,41
06/05/2020,5,4,2,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",9,71
11/05/2020,5,4,3,Hollywood,TV Show,Yes,"May 1, 2020",9,69
11/05/2020,8,7,7,Den of Thieves,Movie,,"May 1, 2020",9,31
17/05/2020,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",9,87
22/05/2020,5,5,1,The Wrong Missy,Movie,Yes,"May 13, 2020",9,79
23/05/2020,4,3,3,Riverdale,TV Show,,"May 19, 2017",9,71
24/05/2020,9,8,4,White Lines,TV Show,Yes,"May 15, 2020",9,42
27/05/2020,3,2,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",9,85
28/05/2020,3,2,2,Sweet Magnolias,TV Show,Yes,"May 19, 2020",9,80
29/05/2020,8,9,6,The Flash,TV Show,,"Oct 6, 2015",9,30
31/05/2020,7,9,5,Just Go With It,Movie,,"May 22, 2020",9,35
03/06/2020,9,5,1,Uncut Gems,Movie,,"May 25, 2020",9,67
05/06/2020,2,2,1,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",9,83
07/06/2020,2,2,1,Space Force,TV Show,Yes,"May 29, 2020",9,88
11/06/2020,6,6,3,Fuller House,TV Show,Yes,"Feb 26, 2016",9,56
14/06/2020,3,2,1,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",9,87
15/06/2020,10,10,6,Queer Eye,TV Show,Yes,"Feb 7, 2018",9,38
16/06/2020,1,2,2,365 Days,Movie,Yes,"Jul 7, 2020",9,81
27/06/2020,4,2,3,The Order,TV Show,Yes,"Mar 7, 2019",9,75
28/06/2020,2,1,1,Floor is Lava,TV Show,Yes,"Jun 19, 2020",9,89
28/06/2020,7,8,5,Feel the Beat,Movie,Yes,"Jun 19, 2020",9,49
29/06/2020,8,6,6,The Nut Job,Movie,,"Aug 13, 2014",9,51
10/07/2020,1,1,1,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",9,90
10/07/2020,9,10,5,The Town,Movie,,"Jul 1, 2020",9,32
11/07/2020,4,3,2,Warrior Nun,TV Show,Yes,"Jul 2, 2020",9,76
12/07/2020,7,7,3,The Baby-Sitters Club,TV Show,Yes,"Jul 3, 2020",9,61
12/07/2020,9,8,5,Desperados,Movie,Yes,"Jul 3, 2020",9,46
16/07/2020,4,3,3,Dr. Seussâ The Lorax,Movie,,"Jul 7, 2020",9,64
19/07/2020,3,3,1,The Old Guard,Movie,Yes,"Jul 10, 2020",9,85
19/07/2020,4,5,4,Down to Earth with Zac Efron,TV Show,Yes,"Jul 10, 2020",9,66
24/07/2020,5,4,7,Dark Desire,TV Show,Yes,"Jul 15, 2020",9,47
26/07/2020,3,3,1,Cursed,TV Show,Yes,"Jul 17, 2020",9,84
28/07/2020,4,3,2,The Last Dance,TV Show,Yes,"Jul 19, 2020",9,71
31/07/2020,8,7,1,Fear City: New York vs. The…,TV Show,Yes,"Jul 22, 2020",9,65
02/08/2020,3,3,1,The Kissing Booth 2,Movie,Yes,"Jul 24, 2020",9,84
02/08/2020,5,4,5,Animal Crackers,Movie,Yes,"Jul 24, 2020",9,56
04/08/2020,2,2,2,Shameless,TV Show,,"Jun 30, 2016",9,80
09/08/2020,1,1,1,The Umbrella Academy,TV Show,Yes,"Feb 15, 2019",9,90
14/08/2020,4,3,2,Worldâs Most Wanted,TV Show,Yes,"Aug 5, 2020",9,75
14/08/2020,10,8,5,Dennis the Menace,Movie,,"Aug 1, 2020",9,25
15/08/2020,6,5,3,The Seven Deadly Sins,TV Show,Yes,"Nov 1, 2015",9,62
19/08/2020,6,6,1,The Lost Husband,Movie,,"Aug 10, 2020",9,74
21/08/2020,6,5,3,Mr. Peabody & Sherman,Movie,,"Aug 11, 2020",9,50
23/08/2020,2,2,1,Project Power,Movie,Yes,"Aug 14, 2020",9,88
23/08/2020,5,3,2,The Legend of Korra,TV Show,,"Aug 14, 2020",9,74
30/08/2020,2,2,1,Lucifer,TV Show,,"Dec 15, 2018",9,88
31/08/2020,10,10,8,Hoops,TV Show,Yes,"Aug 21, 2020",9,43
05/09/2020,10,10,9,Cocomelon,TV Show,,"Jun 1, 2020",9,22
06/09/2020,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",9,90
10/09/2020,6,5,2,The Smurfs,Movie,,"Sep 1, 2020",9,65
